FO Firm Name,Website,Country,City,Founded Year,Type,Contact Name,Contact Title,Contact LinkedIn,Contact Email,Investment Focus,Check Size Min,Check Size Max,Recent Deal 1,Recent Deal 2,Recent Deal 3,Co-Investors,LP Relations,LinkedIn Activity,Recent News,News Date,News Source,Verified Date,Verified Method,Source URL,Notes,AUM Range
Pictet Family Office,pictet.com,Switzerland,Geneva,1805,Multi-Family Office,Marc Pictet,Managing Partner,linkedin.com/in/marcpictet,familyoffice@pictet.com,"Multi-asset, Private Equity, Impact Investing",5000000,20000000,Acquisition of a minority stake in DKSH Holding (Oct 2025),Co-investment in a Spanish renewable energy platform (May 2025),,Collaborates with other Swiss private banks and independent MFOs,Nicolas Pictet (Senior Partner),Active; sharing insights on generational wealth transition,"Pictet named ""Best Private Bank for Family Offices"" in Europe for 2026",2026-01-15T00:00:00.000Z,Private Banker International,2026-03-18T00:00:00.000Z,Review of annual reports and industry awards,pictet.com,,$600 Billion
Lenz & Staehelin Family Office,ls-konzern.ch,Switzerland,Zurich,1919,Multi-Family Office,Daniel Daeniker,Managing Partner,linkedin.com/in/danieldaeniker,info@lsag.ch,"Asset Management, Legal Advisory, Corporate Finance",2000000,15000000,Advised on the sale of a mid-sized German medtech firm (Dec 2025),,,Partners with Swiss based PE firms for deal flow,,Moderate; focuses on legal and regulatory updates for family offices,Appointed as legal advisor for a cross-border family governance restructuring,2025-11-20T00:00:00.000Z,Legal Insight,2026-03-18T00:00:00.000Z,Legal press and firm website,lsag.ch,,CHF 10 Billion+
LGT Group,lgt.com,Liechtenstein,Vaduz,1920,Multi-Family Office / Private Bank,H.S.H. Prince Max von und zu Liechtenstein,CEO,linkedin.com/in/prince-max,info@lgt.com,"Private Banking, Alternative Investments, Impact Investing",10000000,50000000,Invested in Climeworks Series F (Nov 2025),Participated in a $100M funding round for a US edtech company (Aug 2025),,Co-invests with sovereign wealth funds and large European family offices,LGT Impact Ventures team,"Highly active; promotes ""Lightrock"" partnership and sustainability",LGT acquired a minority stake in a leading Nordic asset manager,2026-02-10T00:00:00.000Z,Financial Times,2026-03-18T00:00:00.000Z,Official press releases and financial news,lgt.com,,$300 Billion
Huber Family Office,huber-group.com,Germany,Willisau,1886,Single-Family Office,Michael Huber,CEO,linkedin.com/in/michaelhuber,office@huber-fo.de,"Manufacturing (Suzuki/Huber), Real Estate, Venture Capital",5000000,30000000,Expansion of Suzuki distribution network in Eastern Europe (Jan 2026),Acquisition of a logistics center in southern Germany (Oct 2025),,,,Moderate; primarily corporate updates via Huber Group,Huber Group successfully integrated new EV charging infrastructure across subsidiaries,2026-01-05T00:00:00.000Z,Corporate News,2026-03-18T00:00:00.000Z,Company registry and group website,huber-group.com,,€4 Billion+
Gruenwald Family Office,gruenwald-fo.com,Germany,Munich,1995,Single-Family Office,Stefan Gruenwald,Managing Director,linkedin.com/in/stefangruenwald,info@gruenwald-fo.com,"Real Estate, Healthcare, Biotech",2000000,10000000,Investment in a German biotech Series B (Feb 2026),Acquisition of a senior living facility in Bavaria (Sep 2025),,Co-invests with German venture capital funds,,Low; very private,Sold a portfolio of residential units in Berlin for €50M,2025-09-15T00:00:00.000Z,Immobilien Zeitung,2026-03-18T00:00:00.000Z,Property registers and niche financial press,,,€500 Million+
Weber-Bechtolsheimer Family Office,wb-partners.de,Germany,Heidelberg,2001,Single-Family Office,Dr. Clemens Bechtolsheimer,Managing Partner,linkedin.com/in/clemensbechtolsheimer,info@wb-partners.de,"Industrial Technologies, Software, Real Estate",1000000,5000000,Seed investment in an AI-driven manufacturing startup (Jan 2026),,,Partners with local incubators in the Rhine-Neckar region,,Moderate; updates on impact investments,WB Partners launched a €20M fund for local sustainability startups,2026-02-20T00:00:00.000Z,Startup Digest,2026-03-18T00:00:00.000Z,LinkedIn and local news,wb-partners.de,,€300 Million
Albrecht Family Office (AFO),albrecht-fo.com,Germany,Essen,1913,Single-Family Office,Tobias Albrecht,Principal,linkedin.com/in/tobiasalbrecht,contact@albrecht-fo.com,"Retail (Former Aldi Nord), Real Estate, Private Equity",10000000,50000000,Acquisition of a logistics park in the Netherlands (Nov 2025),Investment in a European micro-market chain (Sep 2025),,Highly discreet; rarely co-invests publicly,,Very Low; extreme privacy maintained,Reportedly restructuring internal asset allocation following generational shift,2025-07-10T00:00:00.000Z,Manager Magazin,2026-03-18T00:00:00.000Z,Business press speculation,,,€20 Billion+
Bahlsen Family Office,bahlsen.com,Germany,Hanover,1889,Single-Family Office,Verena Bahlsen,Shareholder,linkedin.com/in/verenabahlsen,info@bahlsen.de,"Food & Beverage, Real Estate, Equities",5000000,20000000,Acquisition of a sustainable packaging startup (Mar 2026),"Expansion of the ""Bahlsen Foundation"" for nutrition research (Jan 2026)",,Collaborates with sustainability-focused VCs,,Active; focuses on CSR and sustainability in the food sector,"Bahlsen announced a strategic shift towards ""Net Zero Production"" by 2030",2026-03-01T00:00:00.000Z,Lebensmittelzeitung,2026-03-18T00:00:00.000Z,Corporate website and trade journals,bahlsen.com,,€2 Billion
Miele Family Office,miele.com,Germany,Gütersloh,1899,Single-Family Office,Reinhard Zinkann,Executive Director & Co-Proprietor,linkedin.com/in/reinhardzinkann,info@miele.com,"Domestic Appliances, Manufacturing, Real Estate",10000000,100000000,Construction of a new production site in Poland (Feb 2026),Acquisition of a specialized robotics firm for manufacturing (Aug 2025),,,,Low; corporate news dominates,Miele Group achieved record revenues despite market headwinds,2026-02-12T00:00:00.000Z,Handelsblatt,2026-03-18T00:00:00.000Z,Annual reports and business news,miele.com,,€5 Billion+
Van Eeghen Family Office,vaneeghen.com,Netherlands,Amsterdam,1662,Single-Family Office,Pieter van Eeghen,Managing Partner,linkedin.com/in/pietervaneeghen,office@vaneeghen.com,"Trading, Food Ingredients, Financial Markets, Real Estate",5000000,20000000,Investment in a Dutch fintech scale-up (Nov 2025),Acquisition of a historic canal-side office building (Sep 2025),,Long-standing partners with Dutch institutional investors,,Moderate; emphasizes 350+ year history,Van Eeghen diversified its portfolio into Asian markets via a Singapore JV,2025-10-05T00:00:00.000Z,Het Financieele Dagblad,2026-03-18T00:00:00.000Z,Company website and historical archives,vaneeghen.com,,€1 Billion+
Brenninkmeijer Family Office (Cofra),cofraholding.com,Switzerland,Zug,2001,Single-Family Office / Family Holding,Martijn Brenninkmeijer,Managing Director,linkedin.com/in/martijnbrenninkmeijer,info@cofraholding.com,"Retail (C&A), Real Estate (Redevco), Private Equity",50000000,200000000,Acquisition of a US sustainable fashion brand (Jan 2026),"Expansion of Redevco's ""City Logistics"" portfolio (Dec 2025)",,Partners with major global private equity firms for buyouts,,Low; strategic updates via C&A and Redevco channels,Cofra Holding announced a strategic review of its European retail assets,2026-01-20T00:00:00.000Z,The Economist,2026-03-18T00:00:00.000Z,Corporate filings and financial press,cofraholding.com,,€30 Billion+
Merck Family Office,merckgroup.com,Germany,Darmstadt,1668,Single-Family Office / Family Holding,Belén Garijo,Chair of the Executive Board (Family appointed oversight),linkedin.com/in/belengarijo,investor.relations@merckgroup.com,"Pharmaceuticals, Life Sciences, Electronics",50000000,500000000,Acquisition of a US biotech firm specializing in oncology (Dec 2025),Investment in a new semiconductor R&D facility in Germany (Oct 2025),,Frequently partners with global pharma giants and sovereign funds,,Active; regular investor updates and ESG reports,Merck Family increased its stake in the publicly traded entity via a buyback program,2026-02-15T00:00:00.000Z,Bloomberg,2026-03-18T00:00:00.000Z,Stock exchange filings and annual reports,merckgroup.com,,€70 Billion+
Werhahn Family Office,werhahn.de,Germany,Neuss,1841,Single-Family Office / Family Holding,Peter Werhahn,Managing Director,linkedin.com/in/peterwerhahn,info@werhahn.de,"Construction Materials, Consumer Goods, Energy",10000000,50000000,Acquisition of a solar park project in Brandenburg (Mar 2026),Investment in a hydrogen storage startup (Jan 2026),,Invests alongside German infrastructure funds,,Low; traditional family focus,Werhahn Group divested its remaining banking stake to focus on industrial holdings,2025-11-30T00:00:00.000Z,Börsen-Zeitung,2026-03-18T00:00:00.000Z,German business press,werhahn.de,,€3 Billion
Moser Family Office,moser-group.ch,Switzerland,Bern,1925,Single-Family Office,Peter Moser,Chairman,linkedin.com/in/petermoser,info@moser-group.ch,"Electronics, Medical Technology, Real Estate",2000000,10000000,Expansion of the electronics manufacturing plant in Thailand (Feb 2026),Acquisition of a medical device distributor in Germany (Nov 2025),,,,Moderate; updates on group milestones,Moser Group celebrated its 100th anniversary with a €50M innovation fund launch,2025-06-15T00:00:00.000Z,SwissInfo,2026-03-18T00:00:00.000Z,Corporate website,moser-group.ch,,CHF 2 Billion
Lindt Family Office,lindt.com,Switzerland,Kilchberg,1845,Single-Family Office,Ernst Tanner,Executive Chairman,linkedin.com/in/ernsttanner,investors@lindt.com,"Chocolate, Confectionery, Real Estate",5000000,50000000,Expansion of cocoa processing facilities in West Africa (Jan 2026),Acquisition of a premium cookie brand in the USA (Sep 2025),,,,Moderate; financial results and sustainability reports,Lindt & Sprüngli increased its dividend for the 25th consecutive year,2026-03-10T00:00:00.000Z,Reuters,2026-03-18T00:00:00.000Z,Annual reports and news wires,lindt.com,,CHF 15 Billion
Rauscher Family Office,rauscher-fo.at,Austria,Vienna,1900,Single-Family Office,Georg Rauscher,Managing Director,linkedin.com/in/georgrauscher,office@rauscher-fo.at,"Banking, Insurance, Industrial Holdings",3000000,15000000,Sale of a stake in an Austrian insurance joint venture (Dec 2025),Investment in a Central European logistics hub (Aug 2025),,,,Low; private investment office,Rauscher family increased philanthropic activities via their private foundation,2025-12-01T00:00:00.000Z,Philanthropy News,2026-03-18T00:00:00.000Z,Austrian business registry,,,€800 Million
Swarovski Family Office,swarovski.com,Austria,Wattens,1895,Single-Family Office,Nadja Swarovski,Board Member,linkedin.com/in/nadjaswarovski,communications@swarovski.com,"Crystal, Jewelry, Technology, Industrial Solutions",10000000,30000000,Launch of a new sustainable crystal innovation lab (Feb 2026),Investment in a tech startup focused on advanced glass processing (Nov 2025),,Partners with fashion houses and tech conglomerates,,Highly active; brand and lifestyle focused,"Swarovski completed the ""Reimagining Luxury"" strategic transformation plan",2026-02-25T00:00:00.000Z,Vogue Business,2026-03-18T00:00:00.000Z,Press releases and brand news,swarovski.com,,€4 Billion
Herz Family Office,herz-fo.dk,Denmark,Copenhagen,1920,Single-Family Office,Thomas Herz,Principal,linkedin.com/in/thomasherz,info@herz-fo.dk,"Shipping, Energy, Real Estate",5000000,25000000,Investment in a green methanol production facility (Jan 2026),Acquisition of a commercial property portfolio in Aarhus (Oct 2025),,Co-invests with other Nordic shipping families,,Low; focus on maritime industries,Herz Family Office backed a new accelerator for maritime tech startups,2025-09-20T00:00:00.000Z,Maritime Denmark,2026-03-18T00:00:00.000Z,Industry journals,herz-fo.dk,,DKK 5 Billion
Simonsen Family Office,simonsen-fo.no,Norway,Oslo,1950,Single-Family Office,Erik Simonsen,Managing Director,linkedin.com/in/eriksimonsen,office@simonsen-fo.no,"Oil & Gas Services, Maritime Tech, Fisheries",2000000,10000000,Investment in a fish farming technology company (Feb 2026),Sale of an offshore service vessel (Nov 2025),,Partners with Norwegian sovereign wealth fund managers on deals,,Low; discreet wealth management,Simonsen Family Office launched a NOK 500M fund for marine conservation,2026-01-10T00:00:00.000Z,DN Næringsliv,2026-03-18T00:00:00.000Z,Norwegian financial press,,,NOK 3 Billion
Kistefos Family Office,kistefos.no,Norway,Oslo,1889,Single-Family Office,Christen Sveaas,Owner,linkedin.com/in/christensveaas,post@kistefos.no,"Private Equity, Real Estate, Shipping",10000000,100000000,Acquisition of a Swedish logistics property (Jan 2026),Exit from a UK software investment with 3x return (Dec 2025),,Active PE investor partnering with Nordic PE firms,,Active; publishes investment letters and Kistefos museum updates,Kistefos invested NOK 1 billion into new wind energy projects,2026-03-05T00:00:00.000Z,Hegnar,2026-03-18T00:00:00.000Z,Website and financial filings,kistefos.no,,NOK 20 Billion
Arvid Nordqvist Family Office,arvidnordqvist.se,Sweden,Stockholm,1884,Single-Family Office,Henrik Nyblom,CEO,linkedin.com/in/henriknyblom,info@arvidnordqvist.se,"Coffee, Food & Beverage, Real Estate",2000000,10000000,Acquisition of a boutique coffee roastery in Stockholm (Feb 2026),Investment in sustainable packaging solutions (Nov 2025),,Partners with other Swedish food & bev families,,Moderate; brand updates,"Arvid Nordqvist launched a new ""Zero Carbon"" product line",2026-02-14T00:00:00.000Z,Dagens Industri,2026-03-18T00:00:00.000Z,Corporate website,arvidnordqvist.se,,SEK 2 Billion
Kamprad Family Office (Interogo),interogo.com,Switzerland,Zug,1943,Single-Family Office / Holding,Åsa Helsing,CEO Interogo Holding,linkedin.com/in/asahelsing,info@interogo.com,"Retail (IKEA), Real Estate, Financial Investments",50000000,500000000,Investment in a new battery storage technology company (Nov 2025),Acquisition of a logistics center in Poland (Sep 2025),,Majority owner of IKEA group; partners with IKEA related foundations,,Low; closely guarded privacy,Interogo Holding increased its liquidity buffer for future real estate acquisitions,2026-01-25T00:00:00.000Z,Affärsvärlden,2026-03-18T00:00:00.000Z,Foundation reports and financial news,interogo.com,,CHF 40 Billion
Bonnier Family Office,bonnier.com,Sweden,Stockholm,1804,Single-Family Office / Media Group,Tomas Franzén,CEO,linkedin.com/in/tomasfranzen,info@bonnier.com,"Media, Publishing, Digital Services, Venture Capital",5000000,20000000,Acquisition of a Norwegian podcast production company (Feb 2026),Investment in a Swedish EdTech platform (Jan 2026),,Active acquirer of niche media assets in Nordics,,Active; updates on media transitions,Bonnier sold its remaining stake in a broadcast network to focus on digital,2025-11-15T00:00:00.000Z,Dagens Nyheter,2026-03-18T00:00:00.000Z,Corporate website and media news,bonnier.com,,SEK 8 Billion
